Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
Sickness and disability,Pensions,Sickness and disability,,,0,0,0,0,0
Special Benefits,Pensions,Old age,Federal employee retirement and disability (602),Special Benefits,0,0,0,0,0
Foreign Service Retirement and Disability Fund,Pensions,Old age,Federal employee retirement and disability (602),Foreign Service Retirement and Disability Fund,0,0,0,0,0
Armed Forces Retirement Home,Pensions,Old age,Federal employee retirement and disability (602),Armed Forces Retirement Home,0,0,0,0,0
Military Retirement Fund,Pensions,Old age,Federal employee retirement and disability (602),Military Retirement Fund,0,0,0,0,0
"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",Pensions,Old age,Federal employee retirement and disability (602),"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",0,0,0,0,0
Civil Service Retirement and Disability Fund,Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,0,0,0,0,0
Civil Service Retirement and Disability Fund,Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,0,0,0,0,0
Employees Life Insurance Fund,Pensions,Old age,Federal employee retirement and disability (602),Employees Life Insurance Fund,0,0,0,0,0
Judicial Officers' Retirement Fund,Pensions,Old age,Federal employee retirement and disability (602),Judicial Officers' Retirement Fund,0,0,0,0,0
"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",Pensions,Old age,Federal employee retirement and disability (602),"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",0,0,0,0,0
Program Expenses,Pensions,Old age,Federal employee retirement and disability (602),Program Expenses,0,0,0,0,0
Payments to Social Security Trust Funds,Pensions,Old age,Social security (651),Payments to Social Security Trust Funds,0,0,0,0,0
"Administrative Expenses, Recovery Act",Pensions,Old age,Social security (651),"Administrative Expenses, Recovery Act",0,0,0,0,0
"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",Pensions,Old age,Social security (651),"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",0,0,0,0,0
"FOASI, Federal Payments to the FOASI Trust Fund",Pensions,Old age,Social security (651),"FOASI, Federal Payments to the FOASI Trust Fund",0,0,0,0,0
Federal Oldage and Survivors Insurance Trust Fund,Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,0,0,0,0,0
Federal Oldage and Survivors Insurance Trust Fund,Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,0,0,0,0,0
"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",Pensions,Old age,Social security (651),"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",0,0,0,0,0
"FDI, Federal Payments to the FDI Trust Fund",Pensions,Old age,Social security (651),"FDI, Federal Payments to the FDI Trust Fund",0,0,0,0,0
Federal Disability Insurance Trust Fund,Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,0,0,0,0,0
Federal Disability Insurance Trust Fund,Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,0,0,0,0,0
Limitation on Administrative Expenses,Pensions,Old age,Social security (651),Limitation on Administrative Expenses,0,0,0,0,0
"Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",0,0,0,0,0
"NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund",0,0,0,0,0
"Department of Defense Contributions, DoD MedicareEligible Retiree Health Care Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Department of Defense Contributions, DoD MedicareEligible Retiree Health Care Fund",0,0,0,0,0
"FHI Trust Fund, Federal Employer Contributions (FICA)",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Federal Employer Contributions (FICA)",0,0,0,0,0
"FHI Trust Fund, Postal Service Employer Contributions (FICA)",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Postal Service Employer Contributions (FICA)",0,0,0,0,0
"Employing Agency Contributions, Military Retirement Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Military Retirement Fund",0,0,0,0,0
"Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",0,0,0,0,0
"Agency Contributions, Civil Service Retirement and Disability Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Agency Contributions, Civil Service Retirement and Disability Fund",0,0,0,0,0
"Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",0,0,0,0,0
"Employing Agency Contributions, Foreign Service Retirement and Disability Fund",Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",0,0,0,0,0
"FOASI, Federal Employer Contributions (FICA Taxes)",Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FOASI, Federal Employer Contributions (FICA Taxes)",0,0,0,0,0
"FDI, Federal Employer Contributions (FICA Taxes)",Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FDI, Federal Employer Contributions (FICA Taxes)",0,0,0,0,0
Employee Retirement  Benefit Payments (X11),Pensions,Old age,Employee Retirement  Benefit Payments (X11),,0,0,0,0,0
Employee Retirement  Withdrawals (X12),Pensions,Old age,Employee Retirement  Withdrawals (X12),,0,0,0,0,0
Employee Retirement  Other Payments (Disc. 2005) (X14),Pensions,Old age,Employee Retirement  Other Payments (Disc. 2005) (X14),,0,0,0,0,0
"Federal Contributions, FSMI Fund",Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions, FSMI Fund",0,0,0,0,0
"Premiums Collected for Medicare Prescription Drug Account, FSMI",Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for Medicare Prescription Drug Account, FSMI",0,0,0,0,0
"Payments from States, Medicare Prescription Drug Account, FSMI",Health Care,Medical service (Seniors),Medicare (571),"Payments from States, Medicare Prescription Drug Account, FSMI",0,0,0,0,0
"Basic Premium, Medicare Advantage, FSMI Trust Fund",Health Care,Medical service (Seniors),Medicare (571),"Basic Premium, Medicare Advantage, FSMI Trust Fund",0,0,0,0,0
"Medicare Refunds, SMI",Health Care,Medical service (Seniors),Medicare (571),"Medicare Refunds, SMI",0,0,0,0,0
"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",Health Care,Medical service (Seniors),Medicare (571),"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",0,0,0,0,0
"Federal Contributions for Benefits, Prescription Drug Account, SMI",Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions for Benefits, Prescription Drug Account, SMI",0,0,0,0,0
"Premiums Collected for the Aged, FSMI Fund",Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Aged, FSMI Fund",0,0,0,0,0
Manufacturer Rebates,Health Care,Medical service (Seniors),Medicare (571),Manufacturer Rebates,0,0,0,0,0
"Premiums Collected for the Disabled, FSMI Fund",Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Disabled, FSMI Fund",0,0,0,0,0
"FHI Trust Fund, Taxation on OASDI Benefits",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Taxation on OASDI Benefits",0,0,0,0,0
"FHI Trust Fund, Basic Premium, Medicare Advantage",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Basic Premium, Medicare Advantage",0,0,0,0,0
"FHI Trust Fund, Payment from the General Fund for Health Care Fraud and Abuse Control Account",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payment from the General Fund for Health Care Fraud and Abuse Control Account",0,0,0,0,0
"FHI Trust Fund, Transfers from General Fund (criminal Fines)",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Transfers from General Fund (criminal Fines)",0,0,0,0,0
"FHI Trust Fund, Medicare Refunds",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Medicare Refunds",0,0,0,0,0
"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",0,0,0,0,0
"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",0,0,0,0,0
Payments to Health Care Trust Funds,Health Care,Medical service (Seniors),Medicare (571),Payments to Health Care Trust Funds,0,0,0,0,0
Federal Supplementary Medical Insurance Trust Fund,Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,0,0,0,0,0
Federal Supplementary Medical Insurance Trust Fund,Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,0,0,0,0,0
Federal Hospital Insurance Trust Fund,Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,0,0,0,0,0
Federal Hospital Insurance Trust Fund,Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,0,0,0,0,0
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0,0,0,0,0
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0,0,0,0,0
Health Care Fraud and Abuse Control Account,Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0,0,0,0,0
Health Care Fraud and Abuse Control Account,Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0,0,0,0,0
Federal Intergovernmental  Health and Hospitals (B42),Health Care,Medical service,Federal Intergovernmental  Health and Hospitals (B42),,0,0,0,0,0
Current Operations  Health  Other (E32),Health Care,Medical service,Current Operations  Health  Other (E32),,0,0,0,0,0
Current Operations  Hospitals (E36),Health Care,Medical service,Current Operations  Hospitals (E36),,0,0,0,0,0
Current Operations  Hospitals  Other (Disc. 2005) (E38),Health Care,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,0,0,0,0
Construction  Health  Other (F32),Health Care,Medical service,Construction  Health  Other (F32),,0,0,0,0,0
Construction  Hospitals (F36),Health Care,Medical service,Construction  Hospitals (F36),,0,0,0,0,0
Construction  Hospitals  Other (Disc. 2005) (F38),Health Care,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),,0,0,0,0,0
Other Capital Outlay  Health  Other (G32),Health Care,Medical service,Other Capital Outlay  Health  Other (G32),,0,0,0,0,0
Other Capital Outlay  Hospitals (G36),Health Care,Medical service,Other Capital Outlay  Hospitals (G36),,0,0,0,0,0
Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),Health Care,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0,0,0,0,0
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Health Care,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,0,0,0,0
Current Operations  Environmental Health (NEW for 2007) (E27),Health Care,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,0,0,0,0
Construction  Environmental Health (NEW for 2007) (F27),Health Care,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,0,0,0,0
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Health Care,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,0,0,0,0
Payment to the PatientCentered Outcomes Research Trust Fund,Health Care,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0,0,0,0,0
