Category,Level1,Level2,Level3,Level4,,,,
ANKRD62,PTEN,CBL,,,,,,
Special Benefits,PTEN,ANKRD62,E2F1,,,,,
Foreign Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,,,,,
Armed Forces Retirement Home,PTEN,ANKRD62,E2F1,,,,,
Military Retirement Fund,PTEN,ANKRD62,E2F1,,,,,
"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,E2F1,,,,,
Civil Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,,,,,
Civil Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,,,,,
Employees Life Insurance Fund,PTEN,ANKRD62,E2F1,,,,,
Judicial Officers' Retirement Fund,PTEN,ANKRD62,E2F1,,,,,
"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",PTEN,ANKRD62,E2F1,,,,,
Program Expenses,PTEN,ANKRD62,E2F1,,,,,
Payments to Social Security Trust Funds,PTEN,ANKRD62,EML4,,,,,
"Administrative Expenses, Recovery Act",PTEN,ANKRD62,EML4,,,,,
"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",PTEN,ANKRD62,EML4,,,,,
"FOASI, Federal Payments to the FOASI Trust Fund",PTEN,ANKRD62,EML4,,,,,
Federal Oldage and Survivors Insurance Trust Fund,PTEN,ANKRD62,EML4,,,,,
Federal Oldage and Survivors Insurance Trust Fund,PTEN,ANKRD62,EML4,,,,,
"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",PTEN,ANKRD62,EML4,,,,,
"FDI, Federal Payments to the FDI Trust Fund",PTEN,ANKRD62,EML4,,,,,
Federal Disability Insurance Trust Fund,PTEN,ANKRD62,EML4,,,,,
Federal Disability Insurance Trust Fund,PTEN,ANKRD62,EML4,,,,,
Limitation on Administrative Expenses,PTEN,ANKRD62,EML4,,,,,
"Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",PTEN,ANKRD62,EGFR,,,,,
"NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree PIK3CA Fund",PTEN,ANKRD62,EGFR,,,,,
"Department of KRAS Contributions, DoD MedicareEligible Retiree PIK3CA Fund",PTEN,ANKRD62,EGFR,,,,,
"FHI Trust Fund, Federal Employer Contributions (FICA)",PTEN,ANKRD62,EGFR,,,,,
"FHI Trust Fund, Postal Service Employer Contributions (FICA)",PTEN,ANKRD62,EGFR,,,,,
"Employing Agency Contributions, Military Retirement Fund",PTEN,ANKRD62,EGFR,,,,,
"Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",PTEN,ANKRD62,EGFR,,,,,
"Agency Contributions, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,EGFR,,,,,
"Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,EGFR,,,,,
"Employing Agency Contributions, Foreign Service Retirement and Disability Fund",PTEN,ANKRD62,EGFR,,,,,
"FOASI, Federal Employer Contributions (FICA Taxes)",PTEN,ANKRD62,PD1,,,,,
"FDI, Federal Employer Contributions (FICA Taxes)",PTEN,ANKRD62,PD1,,,,,
Employee Retirement  Benefit Payments (X11),PTEN,ANKRD62,PDL1,,,,,
Employee Retirement  Withdrawals (X12),PTEN,ANKRD62,PDL1,,,,,
Employee Retirement  Other Payments (Disc. 2005) (X14),PTEN,ANKRD62,PDL1,,,,,
"Federal Contributions, FSMI Fund",PIK3CA,APOBEC3B,PTEN,,,,,
"Premiums Collected for Medicare Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,PTEN,,,,,
"Payments from States, Medicare Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,PTEN,,,,,
"Basic Premium, Medicare Advantage, FSMI Trust Fund",PIK3CA,APOBEC3B,PTEN,,,,,
"Medicare Refunds, SMI",PIK3CA,APOBEC3B,PTEN,,,,,
"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,PTEN,,,,,
"Federal Contributions for Benefits, Prescription Drug Account, SMI",PIK3CA,APOBEC3B,PTEN,,,,,
"Premiums Collected for the Aged, FSMI Fund",PIK3CA,APOBEC3B,PTEN,,,,,
Manufacturer Rebates,PIK3CA,APOBEC3B,PTEN,,,,,
"Premiums Collected for the Disabled, FSMI Fund",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Taxation on OASDI Benefits",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Basic Premium, Medicare Advantage",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Payment from the General Fund for PIK3CA Fraud and Abuse Control Account",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Transfers from General Fund (criminal Fines)",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Medicare Refunds",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",PIK3CA,APOBEC3B,PTEN,,,,,
"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",PIK3CA,APOBEC3B,PTEN,,,,,
Payments to PIK3CA Trust Funds,PIK3CA,APOBEC3B,PTEN,,,,,
Federal Supplementary Medical Insurance Trust Fund,PIK3CA,APOBEC3B,PTEN,,,,,
Federal Supplementary Medical Insurance Trust Fund,PIK3CA,APOBEC3B,PTEN,,,,,
Federal Hospital Insurance Trust Fund,PIK3CA,APOBEC3B,PTEN,,,,,
Federal Hospital Insurance Trust Fund,PIK3CA,APOBEC3B,PTEN,,,,,
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",PIK3CA,APOBEC3B,PTEN,,,,,
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",PIK3CA,APOBEC3B,PTEN,,,,,
PIK3CA Fraud and Abuse Control Account,PIK3CA,APOBEC3B,PTEN,,,,,
PIK3CA Fraud and Abuse Control Account,PIK3CA,APOBEC3B,PTEN,,,,,
Federal Intergovernmental  Health and Hospitals (B42),PIK3CA,ARNT,HTR2A,,,,,
Current Operations  Health  Other (E32),PIK3CA,ARNT,NOS2,,,,,
Current Operations  Hospitals (E36),PIK3CA,ARNT,NOS3,,,,,
Current Operations  Hospitals  Other (Disc. 2005) (E38),PIK3CA,ARNT,NOS4,,,,,
Construction  Health  Other (F32),PIK3CA,ARNT,NOS5,,,,,
Construction  Hospitals (F36),PIK3CA,ARNT,NOS6,,,,,
