Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
CBL,PTEN,CBL,,,0,,0,0,0,0
Special Benefits,PTEN,ANKRD62,E2F1,Special Benefits,0.38,b,,,,0.38
Foreign Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,Foreign Service Retirement and Disability Fund,0.893,b,,,,0.893
Armed Forces Retirement Home,PTEN,ANKRD62,E2F1,Armed Forces Retirement Home,0.083,b,,,,0.083
Military Retirement Fund,PTEN,ANKRD62,E2F1,Military Retirement Fund,54.561,b,,,,54.561
"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,E2F1,"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",0.052,b,,,,0.052
Civil Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,Civil Service Retirement and Disability Fund,0.105,b,,,,0.105
Civil Service Retirement and Disability Fund,PTEN,ANKRD62,E2F1,Civil Service Retirement and Disability Fund,83.099,b,,,,83.099
Employees Life Insurance Fund,PTEN,ANKRD62,E2F1,Employees Life Insurance Fund,2.075,b,,,,2.075
Judicial Officers' Retirement Fund,PTEN,ANKRD62,E2F1,Judicial Officers' Retirement Fund,0.059,b,,,,0.059
"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",PTEN,ANKRD62,E2F1,"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",0.146,b,,,,0.146
Program Expenses,PTEN,ANKRD62,E2F1,Program Expenses,0.146,b,,,,0.146
Payments to Social Security Trust Funds,PTEN,ANKRD62,E2F7,Payments to Social Security Trust Funds,61.661,b,,,,61.661
"Administrative Expenses, Recovery Act",PTEN,ANKRD62,E2F7,"Administrative Expenses, Recovery Act",0.175,b,,,,0.175
"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",PTEN,ANKRD62,E2F7,"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",25.456,b,,,,25.456
"FOASI, Federal Payments to the FOASI Trust Fund",PTEN,ANKRD62,E2F7,"FOASI, Federal Payments to the FOASI Trust Fund",29.19,b,,,,29.19
Federal Oldage and Survivors Insurance Trust Fund,PTEN,ANKRD62,E2F7,Federal Oldage and Survivors Insurance Trust Fund,2.629,b,,,,2.629
Federal Oldage and Survivors Insurance Trust Fund,PTEN,ANKRD62,E2F7,Federal Oldage and Survivors Insurance Trust Fund,676.467,b,,,,676.467
"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",PTEN,ANKRD62,E2F7,"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",4.317,b,,,,4.317
"FDI, Federal Payments to the FDI Trust Fund",PTEN,ANKRD62,E2F7,"FDI, Federal Payments to the FDI Trust Fund",2.495,b,,,,2.495
Federal Disability Insurance Trust Fund,PTEN,ANKRD62,E2F7,Federal Disability Insurance Trust Fund,3.026,b,,,,3.026
Federal Disability Insurance Trust Fund,PTEN,ANKRD62,E2F7,Federal Disability Insurance Trust Fund,143.547,b,,,,143.547
Limitation on Administrative Expenses,PTEN,ANKRD62,E2F7,Limitation on Administrative Expenses,0.16,b,,,,0.16
"Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",PTEN,ANKRD62,"ELF2","Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",3.339,b,,,,3.339
"NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree PIK3CA Fund",PTEN,ANKRD62,"ELF2","NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree PIK3CA Fund",0.196,b,,,,0.196
"Department of KRAS Contributions, DoD MedicareEligible Retiree PIK3CA Fund",PTEN,ANKRD62,"ELF2","Department of KRAS Contributions, DoD MedicareEligible Retiree PIK3CA Fund",6.953,b,,,,6.953
"FHI Trust Fund, Federal Employer Contributions (FICA)",PTEN,ANKRD62,"ELF2","FHI Trust Fund, Federal Employer Contributions (FICA)",3.649,b,,,,3.649
